id,name,team,position,leagues_taken,num_leagues_taken,available,taken_BL
1,Corey Kluber,Cle,P,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
538,Mike Trout,LAA,OF,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
535,Mookie Betts,Bos,OF,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
447,Jose Ramirez(Cle),Cle,3B,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
29,Chris Sale,Bos,P,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
531,J.D. Martinez,Bos,OF,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
472,Francisco Lindor,Cle,SS,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
554,Aaron Judge,NYA,OF,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
473,Alex Bregman,Hou,SS,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
421,Jose Altuve,Hou,2B,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
525,Giancarlo Stanton,NYA,OF,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
2,Justin Verlander,Hou,P,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
3,Gerrit Cole,Hou,P,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
12,Blake Snell,TB,P,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
7,Carlos Carrasco,Cle,P,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
529,Andrew Benintendi,Bos,OF,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
9,Luis Severino,NYA,P,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
480,Carlos Correa,Hou,SS,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
27,James Paxton,NYA,P,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
17,Trevor Bauer,Cle,P,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
